ከጥንታዊ ሳይንሶች
የመጀመሪያውን መንግሥት
መንግሥቱ ሥልጣንን
በባላባቶች እንዲይዝ
አድርጓል በመኳንንቶች
የዴሞክራሲ ደረጃዎችን
አስቀምጧል ዲሞክራሲያዊ
መሸጋገርን በማሳየት
እስኪችል ያሸንፋል
መንግሥቱ የዙፋኑን
ወስኖታል የትግራይ
መኳንንትንና ነገሥቱን
መንግሥት መሳፍንት
ተቀባይነት ሱልጣኔት
ኢትዮጵያ ከጣሊያን
ኢትዮጵያ የኢጣሊያ
ኢምፔሪያሊስት ዲዛይኖች
ፋሽስታዊ በአንደኛው
ኢታሎአቢሲኒያ በኢትዮጵያ
የደረሰባትን ወታደራዊ
ለመበቀል በደረሰው
በሚገለጽ ሀገሪቱን
ለመቆጣጠር ያደረገውን
ለመመከት ኢትዮጵያን
መውረርም የፋሺዝምን
ሊያጠናክር የግዛቱን
ንግግሮች ሊያበረታታ
ኢትዮጵያ በጣሊያን
በጣሊያን ሶማሊላንድ
ንብረቶች ትሰጣለች
ኢትዮጵያ ጣሊያኖችን
የታሰበው ደህንነት
አልነበረውም የሆአሬላቫል
ስምምነት የኢትዮጵያ
ጣሊያንን ለማስደሰት
እንደሆነ በኦጋዴን
ኢትዮጵያን ሠራዊቱን
ተቀላቅሎ በጥቅምት
የቅስቀሳ ትዕዛዙን
አውጥቷል ለጠቅላይ
ስትተክሉ በዋሻዎች
በእንጨት ከእነዚህ
የተቆራኘ በተለያዩ
ፕላቶዎች የሚለያይ
በርሳቸው ድንኳኖች
ይተክላሉ አይሮፕላን
በሚታይበት መንገዶችን
ሜዳዎችን በሸለቆዎች
ማጠራቀሚያዎች በዚግዛግ
መንገዶች አውሮፕላን
ለመወርወር ካልወረደ
በስተቀር ለማድረግ
አይመቸውም ለእንዲህ
በሚበርበት በፍጥነት
አውሮፕላኑ ለእንዲህ
በተመረጠ እንዲተኩሱ
የታዘዙት ምክንያቱም
የያዘውን ከማባከን
ያሉበትን ከመግለጽ
አውሮፕላኑ እንደገና
በሚነሳበት የተበተኑት
ያሉበትን እንዳይያውቅ
እስከሆነ በጥንቃቄ
ተበታትኖ በጦርነት
ጠመንጃውን ጌጣጌጦች
ማነጣጠር ባይኖረውም
ከቀለማት ይመረጣል
ስንመለስ በእግዚአብሔር
ረዳትነት የወርቅና
ጌጦቻችሁን ትችላላችሁ
በጥንቃቄ እንዳይደርስባችሁ
እነዚህን እናቀርባለን
በተመሳሳይ በጦርነት
ልናረጋግጥልዎ ደስተኞች
ለኢትዮጵያ ደማችንን
በመካከላችሁ ለማፍሰስ
ተዘጋጅተናል የጦርነቱ
ከጥቅምት መጀመሪያ
ጣሊያኖች ኢትዮጵያን
የወረራው በአስደናቂ
የሃይለስላሴ የሚጠራውን
ለመጀመር ጣሊያኖች
እንዲመለሱ መከላከያ
እንዲሰለፉ ተደርገዋል
መጀመሪያ የተምቤን
የመጀመሪያው የኢትዮጵያን
ጣሊያኖች ጥቃታቸውን
ለመቀጠል በሁለተኛው
የተምቤን ኢትዮጵያ
ሽንፈትንና ውድመትን
ሀይለስላሴ የመጨረሻውን
የኢትዮጵያ በማይጨው
ጣሊያኖች አፈገፈገ
የኃይለስላሴ ጣሊያኖች
ከኢጣሊያኖች የሚከፈላቸው
ሰነዘሩሃይለስላሴ ከተማቸው
ከመመለሱ ደርሶባቸው
በላሊበላ የሚገኙትን
ክርስቲያናት በብቸኝነት
ተጉዘዋል የመንግስት
መከላከል ባለመቻሉ
መንግስት እንዲዛወር
ነገስቱን አስፋውን
የንጉሱን አስፋውን
የክልሉን መንግስት
ለመጠበቅ እንዲዛወሩ
ስምምነት ተደርሷል
ወዲያውኑ ፈረንሣይ
ሶማሌላንድ እየሩሳሌም
ሃይለስላሴ ቤተሰቡን
ከተደረገ ከኢትዮጵያ
ቤተሰባቸው የኢትዮጵያን
እንዲያቀርብ ስምምነት
ተደርሷል ባለመሆኑ
ተሳታፊዎች ሐዋሪያትን
የኢትዮጵያ ይሰደዳል
የሚለውን አጥብቀው
ተቃውመዋል የአጎታቸውን
በሌሉበት አድርገው
ከቤተሰባቸው ፈረንሳይ
ሶማሊላንድ አቅንተዋል
የጣሊያን ወታደሮችን
ኢትዮጵያን የጣሊያን
አማኑኤል የኢትዮጵያ
በቀደመው ኢትዮጵያውያን
የነበሩት የእንግሊዝ
ኤችኤምኤስ ኢንተርፕራይዝ
ከፈረንሳይ ሶማሌላንድ
ተነስተው እየሩሳሌም
የተጓዙት በእንግሊዝ
የፍልስጤም የኢትዮጵያ
እየሩሳሌም እንደደረሱ
ሹማምንቶቻቸው ጉዳያቸውን
ለማድረግ የሰለሞናዊው
መንግሥት የኢየሩሳሌም
ምሳሌያዊ አጃቢዎቻቸው
በብሪቲሽ ኤችኤምኤስ
ኬፕታውን በመርከብ
በመርከብ ጊብራልታር
በማምራት ገብተዋል
ከጅብራልታር ምርኮኞቹ
ተላልፈዋል በማድረግ
የዩናይትድ ኪንግደም
መንግስት ከመንግስት
አቀባበል ፈረንሳይኛ
አቀላጥፎ ቢያውቅም
ሀይለስላሴ ንግግራቸውን
በአማርኛ መናገርን
ስለነበር እየተጨፈጨፉ
አስረግጦ ተናግሯል
የኢትዮጵያን የአውሮፓ
መንግስታት ጣሊያንን
የኢትዮጵያን በወታደራዊ
የኬሚካል እየተጠቀመች
ጠቁመዋል የመከለል
እየተካሄደ በነበረበት
የጣሊያን መንገድን
በመፍራት ያለበትን
የተከተለው በአውሮፕላኑ
መሳሪያዎች ተጭነዋል
ስለዚህም እንዲተኑ
የሚያስቀጣ አውሮፕላኖች
እርስበርስ ተከትለው
የሚወጡት ቀጣይነት
ስለዚህም ወታደሮች
ያለማቋረጥ ፍጥረታትን
ለማጥፋት መሬቶችን
ለመመረዝ የጣሊያን
አውሮፕላኑን እንዲያልፍ
የጦርነት የሌላቸው
የሌላቸው የሚደርስበትን
ሊቋቋሙት እንደማይችሉ
በመጥቀስ ያልተገደበ
ግዛቶችን እንደሚያሰጋ
በሌለበት እንዲቀነሱ
ተከራክረዋል እግዚአብሔርና
ፍርድህን ያስታውሳል
ማኅበሩን ደህንነት
የመንግስታቱ እያንዳንዱ
ስምምነቶች የሚያኖረው
ፊርማዎቹ ከስምምነት
ተያይዘው የፈራሚው
እስካላቸው ወልደሚካኤል
የነበሩት የልዕልት
ተናኘወርቅ የደጃዝማች
ወልደሚካኤል ተወልደው
ዕድሜያቸው ከአባታቸው
ያጐታቸው እንደነበሩ
ወደርሳቸው መንግሥት
ዕድሜያቸው ከወይዘሮ
ተጋብተው የወደፊቱን
የአውሮፓን ጎብኝተዋል
ኢጣሊያን የኢጣሊያ
በተመለከተ ኢትዮጵያ
የኢጣሊያን ጥገኝነት
ከፈረመች የጀርመን
ከኢትዮጵያ የሚላከውን
ማንኛውንም ደብዳቤም
በኢጣሊያ መንግሥት
ሲገባቸው ከምኒልክ
የተጻፈውን ተቀብለዋል
የጻፉትን ተቃውሞአቸውን
ለኢጣሊያ መንግሥት
ኢትዮጵያ መበላሸት
ከኢጣሊያንም በተደረገውም
ወታደሮች ከምኒልክ
ዘምተዋል መጀመሪያ
ስለታመሙ ለኅክምና
ከከተማቸው የጥምቀትን
አክብረው ስለጸናባቸው
ተመልሰው በተከሉት
ክርስቲያን ምኒልክም
የአርባቸው የሚለቀሰው
እንዲሆን በዙሪያው
የየገዳማቱና የየአድባራቱ
የክርስቲያን በማግስቱም
የጊዮርጊስ መኳንንቱና
ተሰብስቦ የማዕረግ
ልብሳቸውና ወርቃቸው
ኒሻኖቻቸውና መሳሪያቸው
በቅሏቸው በሠራዊቱ
እየተመላለሱ ተለቀሰላቸው
ከአልቃሾቹም ደግነታቸውን
ለማስታወስ ዘፍጥረት
ስለነዚሁ ስሞቻቸው
የተገኘው በጥንታውያን
የረዘማቸው ሲኖራቸው
ለያንዳንዱ እየተናገሩ
ለግሪኮች ለሮማውያንም
መጻሕፍት የተቆጠሩት
የሲቢሊን መጻሕፍት
ደራሲዎች የሮማውያን
የሚታወቁ የሲቢሊን
የተባሉት ኦሪጂናል
መሆናቸው ለምሁሮች
አይመስላቸውም ከመጀመርያ
ለንግሮቹም ይታስባል
በመጽሐፈ ይሰየማሉ
ከአራራት በየአቅጣጫው
እናቶቻቸው ለሚስቶቻቸው
መንደሮች ይታረካል
የሳላሚስ አጲፋንዮስ
ፓናሪዮን ባርጤኖስ
የተሠራው የአባራዝ
አባራዝም አንዳንድ
የአጲፋንዮስ ባርጤኖስ
ከእብራይስጥ ባጥኤኖስ
አጠቁሟል በሲቢሊን
ከሲቢሎቹ የአንዲቱ
ለዛልበጥ ተመሳሳይ
የባቢሎን የንግሮች
የጻፈችው አስቀድሞ
የቤተሠቧ ይታርካል
ግኖስቲስ የምትባል
የሀንጋሪ ተባለችው
አንዳንድ የሚገኘው
የአንጾኪያ ሲጊልበርት
ከተጻፉት በሚኖሩት
በጥንታዊ ማንዳያውያን
ሐይማኖት ተከታዮች
መጻሕፍት አኑራይጣ
የተገኘው ግኖስቲክ
ሃይማኖት መጻሕፍት
ነበራቸው አይሁዳዊ
ክፍለዘመን እንዳለው
የቱባልቃይን እንዲሁም
በሚታወቀው በአይሁድ
አቅርቧል የሚያጠና
የሚግባባበት ዋዝንቢት
የፌንጣና የአንበጣ
ሁለንተናው አንቴኖችም
ዋዝንቢት የሚታወቀው
በሚያሰማው ማውጣትና
የሚችለው ዋዝንቢት
የተባዕቱ ዋዝንቢት
የሚመስል ፍርግርግ
ክንፎቹን በማፋተግ
ይፈጥራል ዋዝንቢቱ
ይለያያል የዋዝንቢት
የመርቢያ ለመራባት
የሚዘፈነው አንስቲቱ
እንስቲቱን ለማቅረብ
ዋዝንቢት የሚመስል
የዕንቁላል የሚያሕሉ
የዋዝንቢት ዝርያዎች
አንዳንድ ዋዝንቢት
ይመሳሰላል የመዝለያ
አይለዩም በተባዕቱ
እንደምትሳብ እንድታስቀምጥበት
እንደሚጠቅማት የመርባትን
በመጠቀም የአስተናጋጇን
ለምታገኝ የተፈጥሮ
መጀመርያ የዋዝንቢት
ተገኝተዋል በተላይም
ዋዝንቢት ይቈጠራል
ዋዝንቢት ማናቸውም
አትክልት በአንዳንድ
ዋዝንቢት ከዕውነተኛው
ዋዝንቢት አይነቶች
አንዳንዶቹ ከዕውነተኛው
ዋዝንቢት የተዛመዱ
ተሐዋስያን ዋዝንቢት
ስለጥቅም የብርቱካን
በአሜሪካ በሜዲቴራኔያን
በሮማንያ በአውስትራልያም
ይከትታል ብርቱካን
በሚገኝበት ይበቅላል
የብርቱካንም በተለመደ
ለጭማቂው ይጨመቃል
ወፍራምና በተለመደ
በክብደትና አማካኝነት
በማስወግድ ባንዳንድ
ይጨመራል አፍአዊው
ይፋቃልና የሚወደድ
ያስገኛል ስለማይረባ
የብርቱካን አስታጋሽ
በሕክምና ይጠቅማል
ከብርቱካን እንደሚከተለው
እንዲያውም ብርቱካን
መንደሪን በተግባር
አይነቶች ምክንያቱም
እያላቸው ሥጋቸውም
ወፍራምና ዕንቁላል
አይነቶች ይታረሳሉ
ብርቱካን የምትባል
መጀመርያ በእስፓንያ
የምትወደድ ብርቱካን
መጠኖችና ትገኛለች
አብዛኛው አሉባቸው
ብርቱካን የምትታወቅ
በሜዲቴራኔያን አቅራቢያ
የምትበቀል ብርቱካን
ወፍራምና ስርጉዳት
ማርማላታም የብርቱካን
ለመስራት ትከብራለች
በብርቱካን ብርቱካን
በብራሲል የብርቱካን
ድንገተኛ የእምብርት
ብርቱካን መጀመርያ
ካሊፎርንያ ብርቱካን
ድንገተኛ ያደርጋልና
የእምብርት ብርቱካን
ስለሌለው የፍሬውም
በርቱካን ይበልጣል
ቫሌንሲያ ብርቱካን
መንደሪን ትመስለዋለች
በመጨራሻም እምብርት
የተባለው ከነመንታው
እምብርት በርቱካን
ፖርቱጋል የምትባል
ለምሥራቅ ብርቱካን
ቋንቋዎች ተወስዷል
ከጥንታዊ የሚለቀመው
በግሪክም የሚለውን
እንግዲህ እንደሚከተለው
ሰንጠረዥ ኢትዮጵያ
ከአፍሪካ ተራራዎች
እንዲሁም አንዳንዶቹ
ይገኙባታል ከአፍሪካ
ሰማንኒያ የሚቆጠሩ
ብሔሮችና ብሔረሰቦች
በኢትዮጵያ ከእነዚህም
ኢትዮጵያ በኣክሱም
ተፈልፍለው ቤተክርስትያኖቹዋ
በኦሎምፒክ አትሌቶቹዋ
ትታወቃለች ለመጀመሪያ
የተገኘው በኢትዮጵያ
ሀገሪቱዋ አምራችነት
በአፍሪካ ኢትዮጵያ
የአብርሃም ሀይማኖቶች
ግንኙነት ክርስትናን
በአራተኛው ምዕተዓመት
ተቀብላለች ሁለተኛው
ኦርቶዶክስ ክርስትና
የመጀመሪያው የእስላም
ኢትዮጵያ የተከናወነው
በአፍሪካ የመጀመሪያው
የእስላም ቤተእስራኤሎች
በኢትዮጵያ እንቅስቃሴ
ኢትዮጵያን የሚያያት
ከስልጣን በኢትዮጵያ
ተስፋፍቶ የሚሆነው
በተከሰቱ የሚቆጠሩ
ካሳለፈች ሀገሪቱዋ
በመፈለግ ትገኛለች
የተጻፈው እንደሚታየው
ኢትዮጲስ ከክርስቶስ
ያላነበቡ ምሁራኖቻችን
ኢትዮጵያ የተቃጠለ
የተጠበሰ እንግዲያውስ
ምሁራኖቻችን ኢትዮጵያ
የተቃጠለ የተጠበሰ
ሊመልሷችው የማይችሉ
ጥያቄዎች ቋንቋውን
ቢያውቁና የአገራችን
ነገሥታት ራሳቸውን
የተጠበሰ የተቃጠለ
ራሳችንን ኢትዮጲስ
የራሳቸውን ይታመናል
የማይመስል ምሁራኖቻችን
እነዚህን ጥያቄዎች
አፋፍላፋፍ እንደሚሉት
ዓይናቸውን ከማፍጠጠና
ከመቅበዝበዝ የሚያድርጉት
የሚሰጡት የላቸውም
አስተሳሰብ የተላበሰ
የሃይማኖት የእግዚአብሔር
የሚገርም ዓይናችን
አፍንጫችንና ጆሮአችን
ለመነጽር እንደሚገጥም
አይደለም ባለማወቁ
ለአፍንጫና እንዲገጥም
ለመነጽር እንዲገጥም
አልተፈጠረም ዐውቃለሁ
ለእንዲህ መዘላበድ
ያጋልጣል የቃላትና
የፊዴላት በግዕዝፅ
በትግርኛና በአማርኛ
አይመስለንም የአገራችን
የሚቀናው ኢትዮጵያ
ከማለትም ይቀልለዋል
ፊዴላትም አገራችን
ከመሆኑም እንዲያመቹ
በፊደላት ሰንጠረጅም
ከመጨረሻ መስፈራቸው
ለመሆናቸው የፊዴላት
ያመጣነው ጥንታዊው
ነገሥታት ኢትዮጲስ
ኢትዮፒስ እንደማይችል
ለማስረዳት እንግዲያውስ
የምናገኘው በትክክለኛው
ኢትዮጲስ ኢይቶጲስ
አይቶፒስ የአገራችን
ንገሥታት እንደማይችሉ
በአገራችን የምናገኘው
ለሕዝብና የማይሰጥ
አግዓዝያን ነገሥታቱም
በየክፍለሃገሩ የትግራይ
የሚታወቀው የጠቀለለ
ንጉሠነገሥቱ የጥንቱን
የይጦብስ ወራሽነት
ለማሳየት የተደረገ
ይመስላል በትግርኛና
በአማርኛም እንግዲያውስ
ይጠብሳል ያቃጥላል
ጠላቶችን ለማስፈራሪያ
ይመስላል ለአገራችን
ነገሥታት የተጠበሰ
የተቃጠለ አይቻልም
የምንለው ኢትዮጵያ
ከግሪኮች ስሕተታቸውን
ለማሳየት በየዘመናቱ
ኢትዮጵያ ትርጉሞች
አይጠረጠርም ኢትዮጵያ
ከዘመናት ብዛትልዩልዩ
ትርጉሞች እንደተሰጡት
አያጠራጥርም የሚደንቀው
መሃነስመሃንደስ መሃንድስ
የሚለውን ትርጉሙን
እንዳልሳተ የሚለውም
ተወላግዶ በግሪኮች
አነጋገር የመቃጠልና
የመጠበስ ትርጉሙን
ይመስላል ምናልባት
በይጦብስ የአገራችን
ነጋዴዎች ለመጀመሪያ
እነማንናችሁብለዋቸው የይጦብስ
ነንብለው መልሰዋል
ሳይጠይቋቸው አልቀሩም
የሚያሳርር የሚያቃጥል
የሚጠብስ አስረድተዋቸዋል
ምርምራችን ኢትዮጵያ
ከነበረባችው ትታወቃለች
ጥናቶችና የሳይንሳዊ
ያረጋግጣሉ ድንቅነሽ
የምትባለው የተገኘችው
በኢትዮጵያ እንደኖረች
ይገመታል በኢትዮጵያ
ተገኝተዋል በተጨማሪ
ኢትዮጵያ የክርስትና
የመጀመሪያዎቹ መንግስታት
የሰለሞናዊው መንግስት
ከአውሮፓ ግንኙነት
ኢትዮጵያ በአህመድ
ፖርቱጋል ወታደሮችና
ኢትዮጵያን ረድታለች
ሱስንዮስ በፖርቱጋልና
እስፓንያ ከመፈለጋቸው
ክርስትና የኢትዮጵያ
ሀይማኖትንም አደረገቱት
ተቃውሞና የሚቆጠሩ
ሱስንዮስ ፋሲለደስ
ኢትዮጵያ አርቶዶክስ
ክርስትና መመለሷን
አውሮፓውያኖቹንም ከኢትዮጵያ
መሳፍንት የአውሮፓ
ለአፍሪካ የግርማዊ
ሁለተኛው ኢትዮጵያን
ለአፍሪካ ተጫውተዋል
ኢትዮጵያ የምትገኝ
ስፋቱዋም ከኤርትራ
በምዕራብ ከሱዳንና
እንዲሁም በምሥራቅ
ከሶማሊያ ትዋሰናለች
የኢትዮጵያ አብዛኛው
በተራሮች አንባዎች
የምሥራቅ እነዚህኑ
በመጋደም ይከፍላቸዋል
የመልክዓምድር የተለያዩ
የዕፅዋት አሰፋፈር
ገጽታዎች እንዲኖሯት
አስችሏታል በከፍታና
በመልክዓምድራዊ አቀማመጥ
በኢትዮጵያ መስከረም
በየካቲት በመጋቢት
ይከሰታል የተቀሩት
በአብዛኛው አስተዳደራዊ
በተጨማሪም በሃይማኖት
ሃይማኖቶች ክርስትና
እስልምና የሚስተዋልባት
የክርስትና ተከታዮች
እስልምና እንዲሁም
የፕሮቴስታንት ተከታዮች
የሚሆነውን በኢትዮጵያ
ብሔረሰቦች በቋንቋም
ቋንቋዎች የሚነገሩባት
በአብዛኛው ኢትዮጵያውያን
የሚነገሩት ቋንቋዎች
በተለያዩ የሀገሪቱ
ነዋሪዎች የመማሪያ
የመገበያያ እንዲሁም
በኢትዮጵያ የሚነገሩት
ቋንቋዎች አፍሮኤስያዊ
በአፍሮኤስያዊ ከሚባሉት
ቋንቋዎች ከምባትኛ
ከአባይሰሃራዊ የሚካተቱት
የመሳሰሉት ወላይትኛ
የመሳሰሉት የኦሞአዊ
አርጎብኛ ቋንቋዎች
ቋንቋዎች ይመደባሉ
የሴሚቲክ ትግርኛና
ቋንቋዎች ኢትዮጵያን
ከአፍሪቃ ያደርጋታል
የሴሚቲክ ቋንቋዎች
ከቤተክርስትያን ግልጋሎት
የማይውል መያያዣዎች
ጂዎግራፊና በኤርትራ
ይለያያል በሚባለው
ከአፍሪካ ተጋጥሞአል
እንዲተላለፍ አስቆፍሮ
ያስከፈተው የታወቀው
ኤውሮጳውያን አድርገው
አፍሪካን አልመረመሩትም
የሚበልጡት ሻንቅሎች
ከነዚህም የተለያዩ
ለመጠጊያቸው የሚፈልጉት
የተዋረደ ቅጠላቅጠሉን
መቸውንም ልብሳቸው
በወገባቸውም ይጠመጥሟታል
ከሻንቅሎቹ የአፍሪካ
ባላገሮች ግብፃውያንነታቸውን
ከቱርኮችና ከዐረቦች
ከሌሎችም የተቀላቀሉ
የሚባለውን የሌለውን
በዙሪያው ፈረሶቻቸውንና
ግመሎቻቸውን ለማሰማራት
ለመዝረፍ ይዘውታል
ያልደረሰ ይታሰባል
የሚበዙት እስላሞች
በመካከለኛው አውራሪስ
ይገኙበታል ይንጫጩበታል
ሞልተዋል አጋዘንና
ተሰማርተው በየወንዙና
በየባሕሩ ትኖራለች
አዕዋፍም በየስፍራው
የህብረተሰብ ስለዚህም
የማንኛውንም የስነልቦናዊ
የማህበረሰብአዊ ደህንነትን
የሚያቃውስ በተለያየ
በሽታዎች በአፍሪካ
በሌሎችም አብዛኛውን
ህብረተሰብ የሚያጠቁት
በሽታዎች በጥቃቅን
አማካኝነት የሚተላለፉ
ምክንያት የሚመጡት
እንደሚያሳየው በተለይም
እንዲሁም የህጻናት
የትምህርት ምክንያት
እንዲሁም በየአመቱ
ይቀጥፋሉ በህዋሳት
በሽታዎች የተለያየ
የመተላለፊያ ባጠቃላይ
መተላለፊያ መንገዶች
እንደሚከተለው ይመደባሉ
በበሽታዎች የሚያዳግቱ
ለውጦችን አንዳንድ
የተጠቃውን በመውሰድ
የሚደረግ ማይክሮስኮፕ
የተላላፊ በሽታዎችን
መከላከል በሽታዎችን
ለመከላከል መሰረታዊ
መርሆዎች እነኚህም
በክትባት አማካይነት
ልንከላከላቸው የምንችላቸው
በሽታዎች አይደሉም
ከእነዚህም የክትባት
የሚሰራው እነዚህን
በኬሚካል በማዳከም
እንዳያሰከትሉ በክትባት
ሰውነታችን ለይቷቸው
መከላከያ እንዲያዘጋጅ
በማድረግ አብዛኛዎቹ
ክትባቶች የሚሰጡት
የተዘጋጀ ሪፐብሊክ
በምስራቅ የምትገኝ
ከኢትዮጵያ በሰሜንምስራቅ
ከሶማሊያ ከታንዛኒያ
በምስራቅ ከዩጋንዳ
በስሜንምዕራብ በደቡብምስራቅ
ውቅያኖስ ትጋራለች
አውሮፓውያን አካባቢውን
የጀመሩት የብሪታንያ
መንግሥት የምሥራቅ
ፕሮቴክቶሬትን አቋቁሟል
ፕሮቴክቶሬት ተሰይሟል
ሪፐብሊክ በዲሴምበር
ዋሽንግተን ዋሽንግተን
ጊዮርጊስ ሽንግተን
ዋሽንግተን የአሜሪካን
አብዮታዊ የአርበኞቹን
በመምራት የዩናይትድ
መንግሥት የፌዴራል
መንግሥትን ባቋቋመው
መንግሥት ኮንቬንሽን
መርታለች ዋሽንግተን
በሀገሪቱ የምስረታ
የአመራር ተብላለች
ዋሽንግተን የዩናይትድ
ስቴትስን መንግሥት
በማፅደቅ በማፅደቅ
ተጫውታለች ፕሬዝዳንት
ተመርጠዋል ፕሬዝዳንት
ጄፈርሰን አሌክሳንደር
ሃሚልተን በተደረገው
ገለልተኛ የገንዘብ
መንግስት ተግባራዊ
አድርጓል በፈረንሣይ
ስምምነትን የገለልተኝነት
ለፕሬዝዳንት ፕሬዝዳንት
የሚለውን ምሳሌዎችን
አስቀምጧል የስንብት
ንግግራቸው በሪፐብሊካኒዝም
ቅድመታዋቂ ተወስዷል
ዋሽንግተን ከባርነት
የተወሳሰበ ግንኙነት
የነበራት ዋሽንግተን
የሚበልጡ ተቆጣጥረው
ባሪያዎች በእርሻው
እንዲሰሩ ተገድደዋል
ፕሬዝደንትነት ባርነትን
የሚከላከሉ የሚገድቡ
በኮንግረሱ ፈርመዋል
ከባሪያው እንዳለበት
ባሪያዎች አለባቸው
ለማፋጠን ማበረታቻ
ለማስወገድ በህይወት
አወጣቻቸው የአሜሪካ
ተወላጆችን ከአንግሎ
አሜሪካዊ ለመዋሃድ
የአገሬው ተወላጆችን
ተዋግቷል የአንግሊካን
ቤተክርስቲያን የፍሪሜሶኖች
በጄኔራልነት በፕሬዝዳንትነት
የሃይማኖት ነፃነትን
አሳስቧል ብርሃንሆርስ
በጦርነት መጀመሪያ
በመጀመሪያ ዋሽንግተን
በመታሰቢያ ሐውልቶች
በፌዴራል በተለያዩ
ሚዲያዎች በጂኦግራፊያዊ
አካባቢዎች በብሔራዊ
በዋሽንግተን በቴምብር
በገንዘብ ምርጫዎች
ከታላላቅ የአሜሪካ
ፕሬዚዳንቶች ፈርጀውታል
ጄኔራልነት ዋሽንግተን
ወንድሞቹ በእንግሊዝ
ትምህርት የተማሩትን
ትምህርት አልነበራቸውም
በሃርትፊልድ የታችኛው
ትምህርት ገብተዋል
ትሪጎኖሜትሪ በጉልምስና
በሚታመን በትክክለኝነት
አላሳየም አድናቆትን
ማዕረግን ስልጣንን
ለማሳደድ ድክመቶቹን
ውድቀቶቹን የሌላውን
አልባነት ያዘነብላል
ዋሽንግተን ከሎውረንስ
ባርባዶስ ይፈውሳል
ዋሽንግተን አድርጎታል
ሎውረንስ ዋሽንግተን
ቬርኖንን ከመበለቲቱ
አከራይቷል የሎውረንስ
ዋሽንግተን የቨርጂኒያ
ያገለገለው እንዲፈልግ
አነሳስቶታል የቨርጂኒያ
ዋሽንግተንን አውራጃዎች
ለመቆጣጠር ፈረንሳዮች
ይፎካከሩ እንግሊዞች
ምሽጎችን እየገነቡ
በነበሩበት ፈረንሳዮችም
ተመሳሳይ ነበርበኦሃዮ
የዋሽንግተን በፈረንሳይ
ተጠልፏል ዋሽንግተንን
በወዳጅነት አቀባበል
ተደረገላት የብሪታንያ
ለፈረንሳዩ ፈረንሳዮች
ለመልቀቅ አልሆኑም
ለዋሽንግተን ኤንቨሎፕ
መዘግየት እንዲሁም
ለፓርቲያቸው ቨርጂኒያ
ለሚደረገው የክረምት
ዋሽንግተን አስቸጋሪ
የሆነውን ተልእኮውን
በአስቸጋሪ የክረምት
ሁኔታዎች አጠናቀቀ
በቨርጂኒያ በለንደን
በነበረበት የልዩነት
መለኪያን አግኝቷል
የፈረንሳይ ትዕይንት
ዋሽንግተን በመኮንኖች
በህንዶች በመብራት
ካውንስል ዋሽንግተን
የፈረንሣይ ስለነበሩ
ዋሽንግተን ከቨርጂኒያውያን
አስከትሎ ዘመተባቸው
የጁሞንቪል ተከራክሯል
የፈረንሳይ ወታደሮች
በሙስኪት ተገድለዋል
ብሪታኒያን እንዲወጡ
ዲፕሎማሲያዊ መልእክት
ያስተላለፉት የፈረንሣይ
ጁሞንቪል ተገድለዋል
የፈረንሣይ ጁሞንቪልን
አንዳንድ ጭንቅላታቸውን
