ንመብዛሕትኡ ንኤርትራን
መርበባት ዝገበሩዎ
ምዕባለታት ኣርእዮም
ኵነታትት ትምህርቲ
ደረጃታት ጀሚርካን
መምህራን ምምሕያሽ
ኪዛተይሉን ምምዕባል
ትምህርቲ ኬቕርቡዎን
ቀሪቡሎም ትምህርቲ
ብርሑቕውን ብዛዕባዚ
መምህራን ጃይተህን
ተኻፈልቲ ምጅማሮም
ዘይሮሞን ተዋሂቡዎምን
ምምዕባል ትምህርቲ
ትምህርቶም ዜሳልጡሉን
መምህራን ዜድልዮም
ትምህርቲ ኣሰራርሓ
ዚሰግሩሉ ምድላይን
ንሳልሳይ ንጥፈታት
ኣንበሳን ወኻርያን
ኣድጎምን ትምህርቲ
ትምህርቲ ብዝተፈላለየ
ምኽንያታት ኣይረኸቡን
ንምፍጣር ምምዕባልን
ምምሕያሽን ትምህርቲ
ትምህርቲ ብሾብዓተ
ቋንቋታት ቋንቋታት
እዚኣተን ዝተኻፈሉ
ክሪስትያንስታድ ተሓሲቡዎ
ብኮምፕዩተር እናተሓገዙ
ዝተመዝገቡ ተኻፊሎሞ
ንምቅላል እናኸዶም
ብወለዶም እናተሓገዙ
ስድራቤት ትምህርቲ
ተገይሩሉ ስድራቤታት
ዝተዋህበ ትምህርቲ
ኪረኽቦም ኪግበረሎም
ኣመሃህራ ከይቋረጾም
መዓልታት ኬወፍየሎም
ስድራቤታትን ኣካየድቲ
ተሰማሚዖም ተመሳጊኖም
ተፈላልዮም ትምህርቲ
መስከረም ብመምህር
ዘይኰነስ ኤውሮጳንውን
ከይበርስ ዝተሓዝአ
ዘይፍቀዶ ተባዕታይ
ዝሓየለን እንጽውዖውን
እናቐየረ እናጸለመውን
ይኸይድዩ መዓልታት
ክትወልድ ዘይረኽቡዎን
ኣይርእንዩ ከይገበሩ
ኣስናኖም ዘይድልድል
ባዕላቶም ኪምንጭቱ
ኣይክእሉን ባዕላቶም
እንስሳታት እትኸውን
ኪገድፉዋ ኣንስትዮ
ይፍቀደለን ተባዕትዮ
ብጸልማት ኣይጽገሙን
ተባዕታይ ኣይሃድንን
ኣነጻጺርካ ኣንስትዮ
ዝተሃድነ ብቐዳምነት
ተባዕታይ ኣንስትዮን
ይፈቕደሎም ኣነባብራ
ስድራቤት ይህልዉዋ
ተባዕታይ ጕጅለታት
ኣርባዕተ ተባዕትዮ
እዚኣቶም ተኣዘዝቲ
ተባዕታይ ኣይፍቀደሉን
ዋዕሮታት እንተዀናውን
ዋዕሮታት ኪኣትወአን
ኣይፈቕዳን ኣትዮሞም
ዝተሳዕረ ብተመሃሮ
ትምህርቲ ቡሰንሁስ
ብተመሃሮ ትምህርቲ
ቡሰንሁስ እንስሳታት
ምስኣቶም ኣይነበረን
እንስሳታት ኣይመለሰትሉን
ዝረአናዮ ዝነበረት
ንሳቶምን ቅልጡፍን
እናጐየየ እናዘለለ
እናበልዐ እናጸሓፈ
ብየማኑን ብጸጋሙን
ብላዕልን ብታሕትን
ዝተሰብረ ወኻርያን
ኣንበሳን ኣድጎምን
ኣንበሳን ኣንጭዋን
ዘይሓስብ ፒቲያስን
ሕንቅሊተይ ሕንቅሊተይ
ሕንቅሊተይ ብነኣሽቱና
ተጻዊትናሉ ከነሕልፎ
ሓላፍነትና ዝተረስዐ
ዝዘከርኩምዎ እንተለኣኽኩምሉ
ኣድርረኒ ብምንታይ
ዘይትርኢ ዘይትሰምዕ
ዘይትስበር ዘይትቕበር
በርባዕተ ብሰለስተ
እትኸድን ዝሃብካያ
እትበልዕ እንተስተኻያ
እትመውት ዝነውሐት
ወሰድካላ ዘይትንስእ
ዝመልአት ነንሕድሕደን
ዘይረኣኣያ ክትዕመት
ዘይክእል ኣንተጠወኻ
ንቕድሚት ከይተበሃልካ
መልሓስካ ከተውጽኣሉ
እትኽእል ከተዕርፍ
ክትሰርሕ ዓለምለኻዊ
ምኽንያት ዝተፈላለያ
ቋንቋታት ንኸይጠፍኣ
ንምክልኻል ክትምሃር
ኪክኣልን ባህልታት
ምርድዳእ ብዜመልክት
ዝተፈላለየ ንሻብዓይ
ዝተፈላለየ ብዝተፈላልየ
ትምህርቲ ትምህርቲ
ኤልሳቤጥ ምጻእኩም
ትምህርትና ዝተፈላለየ
ዝተፈላለየ ቋንቋታት
ዚዛረቡን ትምህርቲ
የሐብነናን የሐጕሰናን
ከነኽብራ ኣተሓላሊፋትለን
ወለዶምን ኣሕዋቶምን
ኣሓቶምን ተኻፊሎሞ
ብብዙሓት ስድራቤታት
ትምህርቲ ብፍላይን
ንሽወደን ብሓፈሻኡን
ባህላውያን ገይሩወን
ብዝተፈላለየ ቋንቋታት
ግጥምታት ሃገሮምን
ባህሎምን ሳዕስዒታት
ዘርአዩሉ ከይተወሰነ
ጕጅለታትውን ዘዘሊሎም
ስዕስዒት እናተሓወሱዎም
ትግርኛውን ቋንቋታት
እዚኣተን ተመሃሪት
ነቢባቶትዕግስቲ ኣብራሃን
ተጒመናኦ ኪዛረቡን
ሳዕሲዒቶም ኪስዕስዑ
ንኺምዕብል ዝመልኦን
ወኻርያን ጐረባብቲ
ክትምሳሕ ቀረበትላ
መስኪነይቲ ንምብላዕ
ዝገበረቶ ከየሕፈራ
እናላገጸት ጐረበተይ
ዘይበላዕኪ ኣይኰነን
የቐንየለይ ክትምስሒ
ንጽባሒቱ ዝገበርክኒ
እንተረሲዕኩም ትረስዕኩም
ኣይግድሸካን ክትቅልጥፊ
ትቕልጥፍ ክንወዳደር
ንጽባሒቱ ተራኺቦም
ትፈልጠን ማንቲለታት
ኣምጺኣተን ክሕግዛኣ
ማንቲለታት ስንጽሮታትን
ተሓቢአን ከይርእየን
ጀሚሩሎም ማንቲለታት
ክትመጽእ እናተጸበያ
ማንቲለታት ሓሊፋተን
ኣዘራርባናን ኣጸሓሕፋናን
ንእንገብሮ ንምእራም
ነበብትና ከነካይደሉ
ከፊትናዮ እንተኾይኑ
ንመያየጠሉ ለበሃማን
ያነብቦሙ ንዓባሳት
ከምዝዛረቡ ይገብሮም
ብትግርኛ ቋንቋነት
ቋንቋነት ህዝብታት
ብዝሐቋንቋ ንውልቀሰብ
ንሕብረተሰብ ስድራቤታት
ይዀነሎም ከምዚኦም
ስድራቤታት ዝተወልዱ
ስድራኦም ስድራቤቶም
ንኺቕበሉ ብዝሐባህልታት
ኣረኣኣያ ስድራቤታትን
ኣዝማድን መንነትን
ዝምድናን ርግጸኛታት
ቋንቋታት ንኽልቲኡ
ቋንቋታት ዚኽእሉዎ
ንኽልቲኡ ቋንቋታት
ኬማዕብሎ ስድራቤትን
ትምህርትን ንኺጥቀም
ብዝተፈላለየ ኬተባብዑዎን
ኪድግፉዎን ብምጥቃም
ስድራቤታት ትምህርቲ
መምህራንን ባህርያዊ
ኬርእዩዎ ድርብቋንቋነት
ኣወንታዊ ዘሎዎመብዛሕትኦም
ስድራቤታት ቋንቋታትዚኣቶም
ኬልግሱዎም ዘይክኣልዩ
ሕብረተሰብ ቋንቋታት
ምዝራቦም ንምዕባለ
ንምዕባለ መማዕበሊ
ምትሕብባር ቅድመትምህርትን
ቤትትምህርትን ወለድንዩ
ቅድመትምህርትን ቤትትምህርትን
ምምዕባል ሓላፍነት
ስድራቤትውን ብዝተፈላለየ
ብምትብባዕ ዘይክእሉ
እንተዀኑውን ተመሃራይ
ምስኣቶም ሽወደናውያን
እንተዘይብሎም ኪሓስቡለን
ነጥብታት ቀዳመይቲ
ብዝተፈላለየ ኪረኽበሉ
ኪርከበሉ መሓዙትን
ዓበይትን ቋንቋኦም
ብዘየገድስ ኪጥቀመሉ
ንኣብነት ዚርከቡዎ
ምንቅስቓሳት ሳዕስዒት
ኬተባብዑዎ ካልኣይቲ
ዚሰማምዖ ቅድመትምህርትን
ቤትትምህርትን መምህራን
ፍልጠትን ንቕሓትን
ትምህርቲ ንኻልኣይ
ዚምሃሩን ከምኡውን
መምህራን ብዜማዕብል
ቅድመትምህርቲ ቅድመትምህርቲ
ዘይዝውተሮ ትምህርቲ
ብሽወደን ኣየውጽእን
ኵነታቶም ሓሳባቶም
ንኣብነት ንዝደለዩዎ
እናኣርኣዩን እናኣመልከቱን
ዘየቋሪጾም ዘይተራእየ
እናኣዋህለሉ ኣዋህለሉ
ትምህርቲ ዚዝረበሉን
ዚብለሎም ቤትትምህርቲ
ንቋንቋኣደ ቤትትምህርቲ
ንቋንቋኣደ ትምህርቲ
ኪምሃሮዶ ምንባብን
ምጽሓፍን ተማሂሮም
ድርበቋንቋ ቋንቋኦም
ምምዕባሉን ምዕቃቡን
ይቐለሎም ቋንቋኦም
ኬንብቡን ኪጽሕፉን
ኣደኦምዩ ምንባብን
ምጽሓፍን ከተንብብ
ንምምሃር ቋንቋታት
ምንባብን ምጽሓፍን
ኪምሃሩውን ይኽእሉዮም
ንኣብነት ብምጽሓፍን
ብምንባብን ኪቕጽልን
ኬዛይድን ትምህርቱ
ንምምስራት በበይነን
ዚውሃበሉ ትምህርቲ
እንተዀይኖም ትምህርቲ
ኬመልክቱ ዘይመልኽ
ትምህርቲ ዓይነታት
ትምህርቲ ብመምህር
ቋንቋኣደኡ ንትሕዝቶ
ዚምሃሩዎ ትምህርቲ
የረድኦን መጽናዕቱ
ይሕግዞን ትምህርቲ
ትምህርቲ ኣገባብውን
ክትምሃሮ ይክኣልዩ
ንዚውሃቡ ኣገልግሎታትን
ንምፍላጥን ትምህርቲ
ቋንቋታትን ቦታታትን
ብመልክዕ ድርበቋንቋዊ
ክፍልታት ትምህርቲ
ትምህርቲ ንምምራጽ
መግለጽታት መግለጽታት
እቲእቶም ዚውሃብቡ
ቋንቋታት ቀዳማይን
ካልኣይን ንምፍላይ
ኣይኰነን ብቘልዓኡ
ንዝተማህረ ብዚምልከት
ቋንቋታት እቲእቶም
መጀመርታ ዚምሃሮም
ኪትኣታተው ቋንቋሃገር
ዝተባህለ ተተሓሒዙ
ትምህርቲ ቋንቋሃገር
ትምህርቲ ቋንቋኣደ
ቋንቋኣደኦም ዘይሽወደን
መዓልታዊ ትምህርቲ
ቋንቋኣደ ዝዓበየን
ዓብላልን ሽወደንዩ
ቋንቋብዙሓን ቋንቋታት
ወግዓውያን ቋንቋታትውሑዳን
ውሽጢሃገር ፊንላንዳዊ
መአንኬሊ ዚዛረቡሎም
ቋንቋታትውሑዳን ዳንማርክ
ፐርስያዊ ዝኣመሰሉ
ቀዳማይሞት ቋንቋታት
ቋንቋነት ቋንቋታት
ንምግላጽ እንጥቀመሉዩ
ሓበሬታታት ሓበሬታታት
ቅድመትምህርትን ትምህርትን
ቋንቋኣደ ሓበሬታውን
ምስልጣን መምህራን
ትምህርቲ ዚኣትዉዎ
ዝተጠቕሰ ዝተፈላለዩ
መምህራን ዚስልጥኑሉ
ብዘየገድስ ዚኣትዉዎ
ትምህርቲ ንዝሓትተናዮ
መብርህቱ ሊቃውንቲ
ኣስዒቡዎ ምግጫውትርጉም
ሃገርናን ኣስዒቡዎ
ምግጫውትርጉም ሃገርናን
በቀማምጣአን ክፍለዓመታትዚኣተን
ኣዋርሓተን ማዕዶማዕዶ
ዘይቃረብ ገገዛእርእሳተን
በበይነን ንምዝኽኻር
ዘይራኸቡ በብሽዱሽተ
ዝተፈላለዩ ኣነጻጺርካሞ
ዝረአኻዮም ከዋኽብቲ
ከይተረፉውን ዘይትርእየሉ
ትርኢትን ክፍለዓመታት
እንፈላለ ኣይመስለንን
ፍልልይሲ መጺኡናሎ
ብኣቀማምጣ ብመስርዕ
ብዅነታት ንምምላስ
ንኺበዝሕ መዓልታት
ምልውዋጥ ዝተዋህለለ
ተኽእሎታት መርበባት
ዝገበሩዎ ምዕባለታት
ኣርእዮም ኵነታትት
ትምህርቲ ደረጃታት
ጀሚርካን መምህራን
ቨነርሆልምን ዘሎዉዎን
ምምሕያሻትን ከምዚዀነን
መምህራን ፍልጠቶም
ንኼብሉን ትምህርቲ
ኪኽእሉን ዝተፈላለየ
ኮርስታት ኪወሃቦም
ምምዕባል ተመሃሮን
መምህራንን መንግስቲ
ተሰሊዑሉ ኪጥቀሙሉ
መምህራን ኪከታተሉዎን
ኪጥቀሙሉን ይግበረሎም
ንራብዓይ ንጥፈታት
ምኽንያቱ ንቕድሚት
ኣጽዋማትን በዓላትን
ኣይወጽእን ቼትዊንድ
ናይላብረርን ሓበሬታን
ሶፍትዌር ምህንድስና
ክዊክሶርት ስነኮምፒተር
ክዊክሶርት ዝቀልጠፉ
ኣገባባት ዘይስሩዕ
ቁጽሪታት ባእታታት
ትገብሮም ባእታታት
ትገብሮም ክዊክሶርት
ክልሰሓሳብ ዝተፋላለዩ
ሶፍትዌር ስነኮምፒተር
ይጥቀምሉ ፕሮግራም
ክህልወካ ስነሎምፒተር
ክዊክሶርት እወዋነናዊ
እወዋነናዊ ወኻርያን
ወኻርያን ዘይኰይኑ
ከይትኸፍቱ በልክኹም
ሴማውያን ቋንቋታት
ብኣስታት ኢትዮጵያ
ብኣስታት ዝተዋጽኡ
ሰንጠረጅ ኣምሓርኛ
ኣምሓረኛ ተባዕታይ
ኢዩኣራዊት ኪሎሜተር
ዝቕመጥዋ ተዀንዳዕ
ታሪኻውያን ከተማታት
ዓድቐይሕ ትምህርቲ
ማሕበራዊ ስነፍልጠት
መስርሒኡ ብዝሒህዝቢ
ትግርኛንሳሆን ፈረንሰኛ
ፈረንሰኛ ጀርመንኛ
ጀርመንኛ እስፓንኛ
እስፓንኛ ኢታልያንኛ
ኢታልያንኛ ኮይናካብ
ንምዕራብ ደቀምሓረ
ኪሎሜተር ብደቡባዊ
ደቀምሓረ ኣከለጉዛይ
ደቀምሓረ ደቀምሓረ
ትግርኛትግረሳሆ ካልአይቲ
ዝዕብየት ኪሎመተር
መንደፈራ ትርከበላ
መንደፈራ ደቡብኤርትራ
እትርከብ ዝተወሰደ
ኣገልጊላ መጥቃዕቲ
ብድፋዓት ሓይልታት
ሓይልታት ንኽትወድቕ
ዘይፈተኖ ኣይነበረን
ኣይከኣለን ምኽንያት
መልስኹም ሓልየትኩም
ኣይፈለየኒ ሓሰብካዮ
ዝካታተሎ ተማሓላልፎ
መልእክቲ ዝረአናዮ
ዝነበረት ንሳቶምን
ቅልጡፍን እናጐየየ
እናዘለለ እናበልዐ
እናጸሓፈ ብየማኑን
ብጸጋሙን ብየማኑን
ብጸጋሙን ብላዕልን
ብታሕትን ብላዕልን
ብታሕትን ዝተሰብረ
ኣሰላሙዓለይኩም ወራሕመቱላሂ
ወበረካትሁ ብመላእኽቱ
ብመጻሕፍቱ ኢስላማዊ
ብትግርኛ ክንትርግሞ
ምዕርግቲ እስልምና
ንእምነትን ክሕደትን
ክትበሃል ኢስላማዊት
ብምእማን ህይወትን
ምጉንጻፍ ውቕብቲን
ዘልኣለማዊ ምኽሳርን
ገሃነምእሳት ምንባርን
እትፈላሊ ኣይኮንን
ሰረተእምነት ብንቕሓት
ምቕባልን ህይወትካ
ብምልኣት ምስዓብን
ምኽንያቱ ዝደጋገምካ
ጥምየትካ ኣይዕንገልን
መድሃኒት ብምጥቃስ
ኣይትኽእልን ብተመሳሳሊ
ዘይተረዳእካያ ህይወትካ
ከተምጻልካ ኣይትኽእልን
ሰረተእምነት ብምጭባጥ
መንፈስን እትትግብሮ
ንኣብነት ብእንግሊዘኛ
ደቂስብን ቅርስታትን
ተሞርኪስና እንምርምር
ዘምልኽዎ ኣማልኽቲ
ነይርዎም ሕብረተሰብ
ዝሰልጠነ ሕብረተሰብ
ዝኣምነሉ ኣምላኽኣማልኽቲ
ዘይነበሮ ኣምላኽካ
ተተሓሒዙ ብተመራመርቲ
ዝጠቐስናዮ ተበጊስና
ክንሓትት ንኽገብር
ተመራመርቲ መጀመርታን
መወዳእታን ዝገልጽዎ
ብምንጽጻር እንተሪኢናዮ
ኣይኮኑን ረቛሒታት
ይሙርኮስ ንናብርኡ
መሰረታውያን ንባዕሎም
ኣይክእሉን ምናልባት
ብቐሊልን ባህርያውን
ዝሕረምዎ ክረኽቦም
ኣገደስትን ጠቐምትን
ይኹንምበር ስለዘይኮነ
ይዕወተሎም ይኸስሮም
ክከላኸሎም ዘይክእል
ኣጋጣሚታት ካሊእታት
ዘይደልዮን ዘይተጸበዮን
ብሃንደበት ብዘይክኡ
ስቅያትን ባህርያዊ
ሓደጋታትን ብምጽራር
ይሻመዉዎ እንተተቓለሰ
ውድቐትን ብዕብየቶምን
ምዕሩግነቶምን ዘርዕድዎ
እምባታት እንስሳታትን
ነገራትን ብምንቅጥቃጥ
ማዕበላትን እንተበለ
ደበናታት እናተኣኻኸቡን
እናጸለሙን ይርእዮም
ንጸልማት ዕልቕልቕ
ከዋኽብትን ምንቅስቃስ
ይረኽቦም ሓያላትን
ውቁባትን ይግንዘብ
ዝዕዘቦም ብምውድዳር
ምኽንያቱ ዕልቕልቕ
ከምዘይጸንሑ ፍርያምነት
ዘይሙዃኑ ከምዝሙርኮስ
ከምዝሙርኮስ ከምዝድገፍ
ይበርሃሉ ዝጠቐስናዮ
ዝሓሰቦም ኣማልኽቲ
ካብዘይኮኑ ተኽእሎታት
መለኮታዊ ምስጢራውያን
ሓይልታት ንዝተፈላለዩ
ክስተታት ክቆጻጸሩ
ከምዘለዎም ድንቁርና
ዘይብሎም ኣማልኽቲ
ዝኣምኑሉ ብምቕራጽ
ምልክታት ብትምህርትን
ምዕባለን እናገስገሰ
ንከባቢኡን ባህርያዊ
ኩነታትን ንከባቢኡን
ኣድማስን ዝቆጻጸር
ቁጽጽርን ምዕሩይን
ምብራቕን ምዕራብን
ምንቅስቓስ ከዋኽብትን
ለውጥታት ወቕቲታትን
ስርዓታት ዝተፈላለዩ
ሓይልታት ብዘደንቕ
ንዝተፈላለዩ ጠንቅታት
ዝተደልየ ተዋሃሂዶም
ብምስራሕ ዝተደልየ
ከተግብሩ ይገብሮም
ላዕለዋይ ተማእዚዙ
ብምዕሩይ መንገድን
ብዘይምቅይያርን ላዕለዋይ
ኣማልኽቲ ኣሰላሙዓለይኩም
ወራሕመቱላሂ ወበረካትሁ
ዓቒዳእምነት እምባኣር
ሙእሚኒን የሕዋተይ
ብዝተፈላለየ ይጸውዓዮ
ዳኣምበር ድንቁርንኡስ
ኣይተላቐቐን ምኽንያቱ
ዝተፈላለዩ ኣማልኽቲ
ምምላኽውን ኣይቛረጸን
መሎኮታዊ ንግስነት
ንግስነት ስለዝኾነ
ዝተፈላለዩ ሚኒስተራት
መሻርኽቲ ኣማሓደርትን
ሰራሕተኛታት ጽሕፈትን
ዝህልውዎ ላዕለዋይ
ብዘይናቶም ስለዘይስመዖ
ነዓኣቶም ኣምለኾም
እናወሰኸ ሰብሰርሖ
ኣማልኽቲ እናጎደለ
ዘምልኾም ኣማልኽቲ
እናቐነሶም መወዳእታ
መወዳእታ ዝማዕበለ
እወንታዊ እንተመሰለ
ተረፍመረፍ ባእታታት
ድንቁርና ህዝብታት
ንኣድማስ ዕረፍቲዩ
ብሞንጎኝነት መላእኽትን
እንተዘይኮይኑ ምሕጽንታን
ኣይሰምዕን ንዝቐረጽዎ
ቅድሚኦም ከይገበሩ
ብእምሮኦም ከይሓሰቡ
ኣይክእሉን ብምህሮን
ሓበሬታን ከምዚኦም
ዝኣመሰሉ እናተተግበሩ
ዝተገለጸ ክትርጎም
ስለዝኾነ ማተርያላዊ
ንክምለኽ መለኮታዊ
ስልጣንን ዘይሙሉእን
ክንኣምነሉ መለኮታዊ
መለለይታት ክስተታት
ምዕሩግን ተቖጻጻሪኡን
ኣማሓዳሪኡንውን እንርእዮን
ዘይንርእዮን ሞሎኮታውነቱ
መሻርኽቲ ኣምላኽዚ
እስልምና ብዘይኩኡ
መነባብሮ እስልምና
ነስተውዕል ህይወቱን
ዘልኣለማዊ ህይወትን
ኣይኮነን ሓልዮቱን
ኣገልግሎታቱን ኣይኮነን
ኣጠማምቱኡ ንቕሓቱን
ፍልጠቱን ንግስነት
ዘይኣምኑ ኣማልኽቲ
ዝኣምኑን ዝኣምኑን
ክረኽብዎ ዘይክእሉ
ረብሓታቱ ከይክልክሉሉ
ከይጎድእዎ ዝፈርሖም
ዝኸልእን ዝሰኩዕን
ዝወስድን ኣንዳዕዲዑ
ዝሰግደሉን ዝመሻኸነሉን
እንተዘይኮይኑ መላእኽቲ
ኣይዝርግሕን እንተዘይኮይኑ
ናይዝኾነ ኣይዓጦን
ንመላእኽቲ ዝህቦምኳ
እንተኾነ ኣይሰርዖምን
ኣረኣእያዚ ንተውሒድ
ብምፍላጥን ምርዳእን
ክንረኽቦ እንኽእል
ምስሉይነትን ኣየቕርብን
ትዕቢተኛን ኣይከውንን
ዓብላልነትን ኣእምርኡ
የብሎምን ከምዝኽእል
ስለዝፈልጥ ኣይንየትን
ዘይኣምን ዘተኣሳስሮ
ስለዝኾነ ብትዕቢት
ኣይትሓዙኒ ዝግንዘብ
ዝመላለስ ኢዚሄራውያንን
ብዙሐዚሄራውያንን ዘይጭበጥ
እናንሳፈፈ ኣይነብርን
ካብኣቶም ንሓጥያትና
ስለዝኾና ኣይቐጽዓናን
ዘምለኽዎም ሞንጎኛታት
ከድሕኑና ተስፋታት
ክወሓሰና ተዓዛቢን
ኣይፈልጥዎን ዝገብሮን
ከምዝሕተተሉ ስለዝፈልጥ
ብሓላፍነታዊ ዝንቐሳቐስ
ስነምግባር ዘይኣምን
ኣተሓሳስብኡ ዘልዕሎን
ዝጭብጦን ኣይፈልጥን
እንተዘይብሉ ኣጠማምትኡ
ተጻዋርነቱን ትዕግስቱን
ነፍሰቅትለት ዘይሙዃና
ህይወትን ዘምጽእን
ዝከላኸልን ምሕሳብን
ይኹንምበር እንተልዩ
ምኽንያታት የብለንን
ንብረቱን ነገራትን
ህይወትን ዝጠፍኣሉ
መስዋእቲ ዝተራቐቐ
እንስሳን ብዘይፍቓድ
ከምዘይክእሉ ካልአይቲ
ሓይልታት ተጠርኒፎም
የጥቕዕዎ ዝወሰነሉ
ኣየጉድል ኣይውስኽ
ምኽንያትዚ ተኣዛዝን
ተምበርካኽን ከምትኸውን
ይገብረካ እንተፈጸመውን
ከምዘይሕባእ ግሉጽንዶ
ኣይኮነን ከተታልል
ኣይከኣልን ዝዓበየን
ቅድመኩነት ኢስላማዊት
ከምዝረኣናዮ ንፈጣሪኡ
ዝተንበርከኸ ትእዛዛትን
ሕጊታትን እስልምና
መሰረትዚ እስልምና
ዘይተንከፎ ኣርእስቲ
እንሻኣሏህ ኣሰላሙዓለይኩም
ብመላእኽቲ ብዘመሓላለፉልና
መላእኽቲ መሎኮታውነት
የብሎምን መላእኽቲ
ኣምለኽቱን ኣተግበርቲ
ትእዛዛቱን ዝተኣዘዝዎ
ብምልኣትን ብጽፈትን
የከናውኑ ብዘይፍቓድ
እመትውን ኣይንቀሳቐሱን
ብድልየቶም የብሎምን
ባህርያት መላእኽቲ
ዝተሓበርናዮኳ እንተዘየለ
ክብሮምን መለለይታቶምን
ተጠቒሱልና ዝተጠቕሰ
ብሃለዋቶም ክንኣምን
ፍጥረቶም ዓይነቶምን
መለለይታቶምን ክንፈልጠሉ
እንኽእል ከነዳልዎም
